source_group	source_file	dataset_hint	has_modified_declayer_message_return	has_forward_return_log_probs_decoder_messages_h_v	has_forward_return_log_probs_decoder_messages_only	has_return_neighbor_info_def	has_center_forward_tuple_unpack	has_decoder_message_topk	has_neighbor_log_prob_fields	has_neighbor_message_vector_fields	has_neighbor_embedding_fields	v3_tensor_field_assignment_count	has_all_v3_tensor_field_assignments	probable_role
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting.ipynb.py.txt	S_2648_or_general_training_notebook	False	False	False	False	False	False	False	False	False	1	False	NA
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	S_2648_or_general_training_notebook	False	False	False	False	False	False	False	False	False	1	False	NA
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	True	False	True	True	False	True	False	False	False	5	False	NA
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V5.ipynb.py.txt	S_2648_or_general_training_notebook	True	False	True	True	False	True	True	False	False	12	False	earlier message/log-probability extraction candidate
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	S_2648_or_general_training_notebook	True	False	True	True	False	True	True	True	False	14	False	earlier message/log-probability extraction candidate
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt	S_2648_or_general_training_notebook	True	True	False	True	True	True	True	True	True	16	True	primary V3 tensor-extraction candidate
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V3.ipynb.py.txt	S_669	False	False	False	False	False	False	False	False	False	1	False	NA
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6.ipynb.py.txt	S_669	True	False	True	True	False	True	True	True	False	14	False	earlier message/log-probability extraction candidate
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt	S_669	True	True	False	True	True	True	True	True	True	16	True	primary V3 tensor-extraction candidate
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt	S_921	True	True	False	True	True	True	True	True	True	16	True	primary V3 tensor-extraction candidate
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V3.ipynb.py.txt	Ssym	False	False	False	False	False	False	False	False	False	1	False	NA
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6.ipynb.py.txt	Ssym	True	False	True	True	False	True	True	True	False	14	False	earlier message/log-probability extraction candidate
